ID,filepath,transcription
aca14f95f3c4487fa955a9360e324ca5,wavs/aca14f95f3c4487fa955a9360e324ca5.wav,vuyGur HAlqiniN fevudal bAglArniN wA pomexciklar sinipiniN hOkUmranliqidiki jAbir japaliq turmuxini vAks vAttUridiGan qoxaqlar bar
7f61bb1206384a468f93d36eb4409cfd,wavs/7f61bb1206384a468f93d36eb4409cfd.wav,juNgo HAlqi tOtni zamaniwilaxturux nixaniGa qarap mArdanilik bilAn valGa basmaqta
203c32b18c1340b3a99d892651e01367,wavs/203c32b18c1340b3a99d892651e01367.wav,hazirqi sipirliq vapparatlarniN sUrAt hasil qilix daniciliri vikki milyondin valtA milyon daniGicA bolmaqta burunqi bir yUz vottuz bAx tipliq voptik vapparatniN von vikki milyon danA vAtrapida
d43eb09bfba64eb79f71f7a1bc7eeb03,wavs/d43eb09bfba64eb79f71f7a1bc7eeb03.wav,kambodJadiki wAtAnpArwAr kUclAr wyetnam hOkUmitiniN qollixi bilAn HAnzupArAs polpotta hakimiyitigA qarxi hujum qozGiGandin keyin HAnzu hOkUmiti wyetnamGa qaratqan besimini teHimu kUcAytti
554a7ac91a904362a862163804e71b0f,wavs/554a7ac91a904362a862163804e71b0f.wav,bu yArniN vomumiy vuzunluqi tAHminAn miN kilometir bolup vasasAn vadAmsiz rayon
7a539362294741d7bc5bf8192e9166de,wavs/7a539362294741d7bc5bf8192e9166de.wav,miNcin turGiyix Gun qoxur qatarliq qowmlar bar
5c3e4ff43cff4aba9e6640ea771750c7,wavs/5c3e4ff43cff4aba9e6640ea771750c7.wav,bu dOlAt tArAqqiyat veqimiGa mas qAdAmdA vAgixip maNalmay sAptin cUxUp qaldi
a8492b99d36c4d8986fd5479884076a2,wavs/a8492b99d36c4d8986fd5479884076a2.wav,lyAnHua coqqisi coqqilar varisida qAd kOtUrUp vOz valdiGa baxqicA gUzAl mAnzirA xAkillAndUrgAn
def5d7d7e057483c94dfbfb9bdbf8050,wavs/def5d7d7e057483c94dfbfb9bdbf8050.wav,pexqAdAm ziyaliy rAhbAr vAsvAt vishaqof vUc wilayAt vinqilabi mAzgilidA xinjaNda HizmAt vixligAn
21b3574454784a8c852c8a76bcdaa32b,wavs/21b3574454784a8c852c8a76bcdaa32b.wav,Hlorokuvin priqa kuyni primetamin qatarliq parazit qurtqa qarxi dorilarniN gArcA sUttiki tArkibi vaz bolsimu biraq bAdAn xAklini GAlitA qilip qoyidu xuNa hamilidar wA bala vemitiwatqan mAzgildA vehtiyatcanliq bilAn vixlitilix yaki vixlAtmAslik kerAk
1ab5d96dced24099bfcba617a20a8f97,wavs/1ab5d96dced24099bfcba617a20a8f97.wav,vu kesAl bolup doHturHanida yetip dawalanGan mAzgildA mAktAp vuniN voqux salahiyitini yAnila saqlap qaldi
c6f9edb0c48e46db93c8ae5ccfea5ca1,wavs/c6f9edb0c48e46db93c8ae5ccfea5ca1.wav,HAlcAm vislam dAlilqan mamiqan HojiHan hakimof vasanbek turdi jaN xyumiN vabduqadir nAsirdin yaw yuNfeN serje xeripqan qatarliqlarmu kollektip qutluqlax pavaliyitigA qatnaxti
